Wavelength [nm],Transmittance [%]
442,0.496527
441,0.48614
440,0.476025
439,0.466099
438,0.45642
437,0.447012
436,0.437736
435,0.428664
434,0.419963
433,0.411474
432,0.403096
431,0.394939
430,0.386894
429,0.379013
428,0.371295
427,0.363829
426,0.356527
425,0.349386
424,0.342527
423,0.335695
422,0.328899
421,0.322352
420,0.316016
419,0.309877
418,0.303853
417,0.29795
416,0.292204
415,0.286642
414,0.281183
413,0.275746
412,0.270505
411,0.265475
410,0.260511
409,0.255625
408,0.250804
407,0.246074
406,0.24151
405,0.237005
404,0.232507
403,0.227996
402,0.223625
401,0.219392
400,0.215276
399,0.211221
398,0.207279
397,0.203369
396,0.199539
395,0.195758
394,0.192037
393,0.188433
392,0.184996
391,0.18155
390,0.178094
389,0.174678
388,0.17139
387,0.168082
386,0.164875
385,0.161725
384,0.158587
383,0.155522
382,0.152511
381,0.149536
380,0.146722
379,0.143966
378,0.141158
377,0.13838
376,0.135698
375,0.133203
374,0.130751
373,0.128315
372,0.125925
371,0.123573
370,0.121215
369,0.118848
368,0.116502
367,0.114261
366,0.112079
365,0.109846
364,0.107459
363,0.105057
362,0.102772
361,0.100538
360,0.0982758
359,0.0960584
358,0.0939017
357,0.0917817
356,0.0896799
355,0.0875812
354,0.0856103
353,0.0836596
352,0.0817337
351,0.0798388
350,0.0779577
349,0.0761243
348,0.0743919
347,0.0726944
346,0.0709284
345,0.0694142
344,0.0679199
343,0.0663906
342,0.0649492
341,0.0635908
340,0.0621918
339,0.0607528
338,0.05937
337,0.0580639
336,0.0567286
335,0.0555222
334,0.0541058
333,0.0526368
332,0.0512575
331,0.0498982
330,0.0485564
329,0.0472994
328,0.0460444
327,0.0448349
326,0.0435773
325,0.0423466
324,0.0411973
323,0.0400715
322,0.0389874
321,0.0379785
320,0.0369441
319,0.0359304
318,0.0349278
317,0.0339925
316,0.0330984
315,0.0321785
314,0.0313119
313,0.0304854
312,0.0296986
311,0.0289554
310,0.0281696
309,0.027427
308,0.0266934
307,0.0259926
306,0.0253208
305,0.0246394
304,0.0240579
303,0.0235117
302,0.022885
301,0.0222642
300,0.0217121
299,0.0212287
298,0.0207732
297,0.0203685
296,0.0199636
295,0.0195981
294,0.0192201
293,0.0188542
292,0.0185385
291,0.0182625
290,0.0180185
289,0.017755
288,0.01741
287,0.0171056
286,0.0168461
285,0.0165909
284,0.0164037
283,0.0162213
282,0.0160445
281,0.0158807
280,0.0157366
279,0.0156242
278,0.0155052
